,Land Medizinstudium,Anzahl,Anteil
0,Schweiz,2833,52.33696656198041
1,Deutschland,1354,25.01385553297617
2,Frankreich,316,5.837797893958988
3,Italien,213,3.934971365231849
4,Österreich,179,3.306853870312211
5,Spanien,73,1.348605209680399
6,Rumänien,61,1.1269166820617034
7,Griechenland,57,1.0530205061888047
8,vorm. Jugoslawien,42,0.775909846665435
9,Belgien,41,0.7574358026972104
10,Polen,21,0.3879549233327175
11,Bulgarien,21,0.3879549233327175
12,Algerien,19,0.35100683539626826
13,Ungarn,17,0.31405874745981893
14,vorm. Sowjetunion,14,0.25863661555514506
15,Russische Föderation,13,0.2401625715869204
16,Niederlande,12,0.22168852761869576
17,Portugal,10,0.18474043968224643
18,Slowakei,8,0.14779235174579716
19,Grossbritannien,8,0.14779235174579716
20,Serbien Republik,8,0.14779235174579716
21,Peru,7,0.12931830777757253
22,Brasilien,6,0.11084426380934788
23,Argentinien,6,0.11084426380934788
24,Kroatien,5,0.09237021984112322
25,Tschechische Republik,5,0.09237021984112322
26,Slowenien,4,0.07389617587289858
27,Ägypten,4,0.07389617587289858
28,Ukraine,4,0.07389617587289858
29,Mexiko,3,0.05542213190467394
30,Kuba,3,0.05542213190467394
31,Bosnien und Herzegowina,3,0.05542213190467394
32,Kasachstan,3,0.05542213190467394
33,ehem. DDR,2,0.03694808793644929
34,Moldawien,2,0.03694808793644929
35,Tunesien,2,0.03694808793644929
36,Uruguay,2,0.03694808793644929
37,Kolumbien,2,0.03694808793644929
38,Schweden,2,0.03694808793644929
39,vorm. Tschechoslowakei,2,0.03694808793644929
40,Weissrussland,2,0.03694808793644929
41,Syrien arabische Republik,2,0.03694808793644929
42,Türkei,2,0.03694808793644929
43,Venezuela,2,0.03694808793644929
44,Marokko,2,0.03694808793644929
45,Ecuador,2,0.03694808793644929
46,Norwegen,1,0.018474043968224645
47,Uganda,1,0.018474043968224645
48,Estland,1,0.018474043968224645
49,Armenien,1,0.018474043968224645
50,Litauen,1,0.018474043968224645
51,Finnland,1,0.018474043968224645
52,Irak,1,0.018474043968224645
53,Chile,1,0.018474043968224645
54,Serbien und Montenegro,1,0.018474043968224645
55,Dominikanische Republik,1,0.018474043968224645
56,Madagaskar,1,0.018474043968224645
57,Mazedonien,1,0.018474043968224645
58,Lettland,1,0.018474043968224645
59,Iran,1,0.018474043968224645
